TIME, RX_LEVEL, SNR, MODULATION
00:13:02,-63.00,34.70,64QAM 2/3
00:13:04,-63.00,34.70,64QAM 2/3
00:13:06,-63.00,34.70,64QAM 2/3
00:13:08,-63.00,34.70,64QAM 2/3
00:13:11,-63.00,34.70,64QAM 2/3
00:13:13,-63.00,34.70,64QAM 2/3
00:13:15,-63.00,34.70,64QAM 2/3
00:13:17,-63.00,34.70,64QAM 2/3
00:13:20,-63.00,34.70,64QAM 2/3
00:13:22,-63.00,34.70,64QAM 2/3
00:13:24,-63.00,34.70,64QAM 2/3
00:13:27,-63.00,34.70,64QAM 2/3
00:13:29,-63.00,34.70,64QAM 2/3
00:13:31,-63.00,34.70,64QAM 2/3
00:13:33,-63.00,34.70,64QAM 2/3
00:13:35,-63.00,34.70,64QAM 2/3
00:13:38,-63.00,34.70,64QAM 2/3
00:13:40,-63.00,34.70,64QAM 2/3
00:13:42,-63.00,34.70,64QAM 2/3
00:13:44,-63.00,34.70,64QAM 2/3
00:13:47,-63.00,34.70,64QAM 2/3
00:13:50,-63.00,34.70,64QAM 2/3
00:13:52,-63.00,34.70,64QAM 2/3
00:13:55,-63.00,34.70,64QAM 2/3
00:13:57,-63.00,34.70,64QAM 2/3
00:13:59,-63.00,34.70,64QAM 2/3
00:14:01,-63.00,34.70,64QAM 2/3
00:14:03,-63.00,34.70,64QAM 2/3
00:14:06,-63.00,34.70,64QAM 2/3
00:14:08,-63.00,34.70,64QAM 2/3
00:14:10,-63.00,34.70,64QAM 2/3
00:14:12,-63.00,34.70,64QAM 2/3
00:14:15,-63.00,34.70,64QAM 2/3
00:14:17,-63.00,34.70,64QAM 2/3
00:14:19,-63.00,34.70,64QAM 2/3
00:14:22,-63.00,34.70,64QAM 2/3
00:14:24,-63.00,34.70,64QAM 2/3
00:14:26,-63.00,34.70,64QAM 2/3
00:14:28,-63.00,34.70,64QAM 2/3
00:14:30,-63.00,34.70,64QAM 2/3
00:14:33,-63.00,34.70,64QAM 2/3
00:14:35,-63.00,34.70,64QAM 2/3
00:14:37,-63.00,34.70,64QAM 2/3
00:14:39,-63.00,34.70,64QAM 2/3
00:14:42,-63.00,34.70,64QAM 2/3
00:14:44,-63.00,34.70,64QAM 2/3
00:14:46,-63.00,34.70,64QAM 2/3
00:14:49,-63.00,34.70,64QAM 2/3
00:14:51,-63.00,34.70,64QAM 2/3
00:14:53,-63.00,34.70,64QAM 2/3
00:14:55,-63.00,34.70,64QAM 2/3
00:14:58,-63.00,34.70,64QAM 2/3
00:15:00,-63.00,34.70,64QAM 2/3
00:15:02,-63.00,34.70,64QAM 2/3
00:15:04,-63.00,34.70,64QAM 2/3
00:15:07,-63.00,34.70,64QAM 2/3
00:15:09,-63.00,34.70,64QAM 2/3
00:15:11,-63.00,34.70,64QAM 2/3
00:15:13,-63.00,34.70,64QAM 2/3
00:15:16,-63.00,34.70,64QAM 2/3
00:15:18,-63.00,34.70,64QAM 2/3
00:15:20,-63.00,34.70,64QAM 2/3
00:15:22,-63.00,34.70,64QAM 2/3
00:15:24,-63.00,34.70,64QAM 2/3
00:15:27,-63.00,34.70,64QAM 2/3
00:15:29,-63.00,34.70,64QAM 2/3
00:15:31,-63.00,34.70,64QAM 2/3
00:15:33,-63.00,34.70,64QAM 2/3
00:15:36,-63.00,34.70,64QAM 2/3
00:15:38,-63.00,34.70,64QAM 2/3
00:15:40,-63.00,34.70,64QAM 2/3
00:15:42,-63.00,34.70,64QAM 2/3
00:15:45,-63.00,34.70,64QAM 2/3
00:15:47,-63.00,34.70,64QAM 2/3
00:15:49,-63.00,34.70,64QAM 2/3
00:15:51,-63.00,34.70,64QAM 2/3
00:15:54,-63.00,34.70,64QAM 2/3
00:15:56,-63.00,34.70,64QAM 2/3
00:15:58,-63.00,34.70,64QAM 2/3
00:16:00,-63.00,34.70,64QAM 2/3
00:16:03,-63.00,34.70,64QAM 2/3
00:16:05,-63.00,34.70,64QAM 2/3
00:16:07,-63.00,34.70,64QAM 2/3
00:16:09,-63.00,34.70,64QAM 2/3
00:16:12,-63.00,34.70,64QAM 2/3
00:16:14,-63.00,34.70,64QAM 2/3
00:16:16,-63.00,34.70,64QAM 2/3
00:16:18,-63.00,34.70,64QAM 2/3
00:16:21,-63.00,34.70,64QAM 2/3
00:16:23,-63.00,34.70,64QAM 2/3
00:16:25,-63.00,34.70,64QAM 2/3
00:16:27,-63.00,34.70,64QAM 2/3
00:16:30,-63.00,34.70,64QAM 2/3
00:16:32,-63.00,34.70,64QAM 2/3
00:16:34,-63.00,34.70,64QAM 2/3
00:16:36,-63.00,34.70,64QAM 2/3
00:16:39,-63.00,34.70,64QAM 2/3
00:16:41,-63.00,34.70,64QAM 2/3
00:16:43,-63.00,34.70,64QAM 2/3
00:16:45,-63.00,34.70,64QAM 2/3
00:16:48,-63.00,34.70,64QAM 2/3
00:16:50,-63.00,34.70,64QAM 2/3
00:16:52,-63.00,34.70,64QAM 2/3
00:16:54,-63.00,34.70,64QAM 2/3
00:16:57,-63.00,34.70,64QAM 2/3
00:16:59,-63.00,34.70,64QAM 2/3
00:17:01,-63.00,34.70,64QAM 2/3
00:17:03,-63.00,34.70,64QAM 2/3
00:17:05,-63.00,34.70,64QAM 2/3
00:17:08,-63.00,34.70,64QAM 2/3
00:17:10,-63.00,34.70,64QAM 2/3
00:17:12,-63.00,34.70,64QAM 2/3
00:17:14,-63.00,34.70,64QAM 2/3
00:17:17,-63.00,34.70,64QAM 2/3
00:17:19,-63.00,34.70,64QAM 2/3
00:17:21,-63.00,34.70,64QAM 2/3
00:17:23,-63.00,34.70,64QAM 2/3
00:17:26,-63.00,34.70,64QAM 2/3
00:17:28,-63.00,34.70,64QAM 2/3
00:17:30,-63.00,34.70,64QAM 2/3
00:17:32,-63.00,34.70,64QAM 2/3
00:17:35,-63.00,34.70,64QAM 2/3
00:17:37,-63.00,34.70,64QAM 2/3
00:17:39,-63.00,34.70,64QAM 2/3
00:17:42,-63.00,34.70,64QAM 2/3
00:17:44,-63.00,34.70,64QAM 2/3
00:17:46,-63.00,34.70,64QAM 2/3
00:17:48,-63.00,34.70,64QAM 2/3
00:17:51,-63.00,34.70,64QAM 2/3
00:17:53,-63.00,34.70,64QAM 2/3
00:17:55,-63.00,34.70,64QAM 2/3
00:17:57,-63.00,34.70,64QAM 2/3
00:18:00,-63.00,34.70,64QAM 2/3
00:18:02,-63.00,34.70,64QAM 2/3
00:18:04,-63.00,34.70,64QAM 2/3
00:18:06,-63.00,34.70,64QAM 2/3
00:18:09,-63.00,34.70,64QAM 2/3
00:18:11,-63.00,34.70,64QAM 2/3
00:18:13,-63.00,34.70,64QAM 2/3
00:18:15,-63.00,34.70,64QAM 2/3
00:18:18,-63.00,34.70,64QAM 2/3
00:18:20,-63.00,34.70,64QAM 2/3
00:18:22,-63.00,34.70,64QAM 2/3
00:18:24,-63.00,34.70,64QAM 2/3
00:18:27,-63.00,34.70,64QAM 2/3
00:18:29,-63.00,34.70,64QAM 2/3
00:18:31,-63.00,34.70,64QAM 2/3
00:18:33,-63.00,34.70,64QAM 2/3
00:18:36,-63.00,34.70,64QAM 2/3
00:18:38,-63.00,34.70,64QAM 2/3
00:18:40,-63.00,34.70,64QAM 2/3
00:18:42,-63.00,34.70,64QAM 2/3
00:18:45,-63.00,34.70,64QAM 2/3
00:18:47,-63.00,34.70,64QAM 2/3
00:18:49,-63.00,34.70,64QAM 2/3
00:18:51,-63.00,34.70,64QAM 2/3
00:18:54,-63.00,34.70,64QAM 2/3
00:18:56,-63.00,34.70,64QAM 2/3
00:18:58,-63.00,34.70,64QAM 2/3
00:19:00,-63.00,34.70,64QAM 2/3
00:19:03,-63.00,34.70,64QAM 2/3
00:19:05,-63.00,34.70,64QAM 2/3
00:19:07,-63.00,34.70,64QAM 2/3
00:19:09,-63.00,34.70,64QAM 2/3
00:19:11,-63.00,34.70,64QAM 2/3
00:19:14,-63.00,34.70,64QAM 2/3
00:19:16,-63.00,34.70,64QAM 2/3
00:19:18,-63.00,34.70,64QAM 2/3
00:19:20,-63.00,34.70,64QAM 2/3
00:19:23,-63.00,34.70,64QAM 2/3
00:19:25,-63.00,34.70,64QAM 2/3
00:19:27,-63.00,34.70,64QAM 2/3
00:19:29,-63.00,34.70,64QAM 2/3
00:19:32,-63.00,34.70,64QAM 2/3
00:19:34,-63.00,34.70,64QAM 2/3
00:19:36,-63.00,34.70,64QAM 2/3
00:19:38,-63.00,34.70,64QAM 2/3
00:19:41,-63.00,34.70,64QAM 2/3
00:19:43,-63.00,34.70,64QAM 2/3
00:19:45,-63.00,34.70,64QAM 2/3
00:19:47,-63.00,34.70,64QAM 2/3
00:19:50,-63.00,34.70,64QAM 2/3
00:19:52,-63.00,34.70,64QAM 2/3
00:19:54,-63.00,34.70,64QAM 2/3
00:19:56,-63.00,34.70,64QAM 2/3
00:19:59,-63.00,34.70,64QAM 2/3
00:20:01,-63.00,34.70,64QAM 2/3
00:20:03,-63.00,34.70,64QAM 2/3
00:20:05,-63.00,34.70,64QAM 2/3
00:20:08,-63.00,34.70,64QAM 2/3
00:20:10,-63.00,34.70,64QAM 2/3
00:20:12,-63.00,34.70,64QAM 2/3
00:20:14,-63.00,34.70,64QAM 2/3
00:20:17,-63.00,34.70,64QAM 2/3
00:20:19,-63.00,34.70,64QAM 2/3
00:20:21,-63.00,34.70,64QAM 2/3
00:20:23,-63.00,34.70,64QAM 2/3
00:20:26,-63.00,34.70,64QAM 2/3
00:20:28,-63.00,34.70,64QAM 2/3
00:20:30,-63.00,34.70,64QAM 2/3
00:20:32,-63.00,34.70,64QAM 2/3
00:20:35,-63.00,34.70,64QAM 2/3
00:20:37,-63.00,34.70,64QAM 2/3
00:20:39,-63.00,34.70,64QAM 2/3
00:20:41,-63.00,34.70,64QAM 2/3
00:20:44,-63.00,34.70,64QAM 2/3
00:20:46,-63.00,34.70,64QAM 2/3
00:20:48,-63.00,34.70,64QAM 2/3
00:20:50,-63.00,34.70,64QAM 2/3
00:20:53,-63.00,34.70,64QAM 2/3
00:20:55,-63.00,34.70,64QAM 2/3
00:20:57,-63.00,34.70,64QAM 2/3
00:20:59,-63.00,34.70,64QAM 2/3
00:21:01,-63.00,34.70,64QAM 2/3
00:21:04,-63.00,34.70,64QAM 2/3
00:21:06,-63.00,34.70,64QAM 2/3
00:21:08,-63.00,34.70,64QAM 2/3
00:21:10,-63.00,34.70,64QAM 2/3
00:21:13,-63.00,34.70,64QAM 2/3
00:21:15,-63.00,34.70,64QAM 2/3
00:21:17,-63.00,34.70,64QAM 2/3
00:21:19,-63.00,34.70,64QAM 2/3
00:21:22,-63.00,34.70,64QAM 2/3
00:21:24,-63.00,34.70,64QAM 2/3
00:21:26,-63.00,34.70,64QAM 2/3
00:21:28,-63.00,34.70,64QAM 2/3
00:21:31,-63.00,34.70,64QAM 2/3
00:21:33,-63.00,34.70,64QAM 2/3
00:21:35,-63.00,34.70,64QAM 2/3
00:21:37,-63.00,34.70,64QAM 2/3
00:21:40,-63.00,34.70,64QAM 2/3
00:21:42,-63.00,34.70,64QAM 2/3
00:21:44,-63.00,34.70,64QAM 2/3
00:21:46,-63.00,34.70,64QAM 2/3
00:21:49,-63.00,34.70,64QAM 2/3
00:21:51,-63.00,34.70,64QAM 2/3
00:21:53,-63.00,34.70,64QAM 2/3
00:21:55,-63.00,34.70,64QAM 2/3
00:21:58,-63.00,34.70,64QAM 2/3
00:22:00,-63.00,34.70,64QAM 2/3
00:22:02,-63.00,34.70,64QAM 2/3
00:22:04,-63.00,34.70,64QAM 2/3
00:22:07,-63.00,34.70,64QAM 2/3
00:22:09,-63.00,34.70,64QAM 2/3
00:22:11,-63.00,34.70,64QAM 2/3
00:22:13,-63.00,34.70,64QAM 2/3
00:22:16,-63.00,34.70,64QAM 2/3
00:22:18,-63.00,34.70,64QAM 2/3
00:22:20,-63.00,34.70,64QAM 2/3
00:22:22,-63.00,34.70,64QAM 2/3
00:22:25,-63.00,34.70,64QAM 2/3
00:22:27,-63.00,34.70,64QAM 2/3
00:22:29,-63.00,34.70,64QAM 2/3
00:22:31,-63.00,34.70,64QAM 2/3
00:22:34,-63.00,34.70,64QAM 2/3
00:22:36,-63.00,34.70,64QAM 2/3
00:22:38,-63.00,34.70,64QAM 2/3
00:22:40,-63.00,34.70,64QAM 2/3
00:22:43,-63.00,34.70,64QAM 2/3
00:22:45,-63.00,34.70,64QAM 2/3
00:22:47,-63.00,34.70,64QAM 2/3
00:22:49,-63.00,34.70,64QAM 2/3
00:22:52,-63.00,34.70,64QAM 2/3
00:22:54,-63.00,34.70,64QAM 2/3
00:22:56,-63.00,34.70,64QAM 2/3
00:22:58,-63.00,34.70,64QAM 2/3
00:23:01,-63.00,34.70,64QAM 2/3
00:23:03,-63.00,34.70,64QAM 2/3
00:23:05,-63.00,34.70,64QAM 2/3
00:23:07,-63.00,34.70,64QAM 2/3
00:23:10,-63.00,34.70,64QAM 2/3
00:23:12,-63.00,34.70,64QAM 2/3
00:23:14,-63.00,34.70,64QAM 2/3
00:23:16,-63.00,34.70,64QAM 2/3
00:23:19,-63.00,34.70,64QAM 2/3
00:23:21,-63.00,34.70,64QAM 2/3
00:23:23,-63.00,34.70,64QAM 2/3
00:23:25,-63.00,34.70,64QAM 2/3
00:23:28,-63.00,34.70,64QAM 2/3
00:23:30,-63.00,34.70,64QAM 2/3
00:23:32,-63.00,34.70,64QAM 2/3
00:23:34,-63.00,34.70,64QAM 2/3
00:23:37,-63.00,34.70,64QAM 2/3
00:23:39,-63.00,34.70,64QAM 2/3
00:23:41,-63.00,34.70,64QAM 2/3
00:23:43,-63.00,34.70,64QAM 2/3
00:23:46,-63.00,34.70,64QAM 2/3
00:23:48,-63.00,34.70,64QAM 2/3
00:23:50,-63.00,34.70,64QAM 2/3
00:23:52,-63.00,34.70,64QAM 2/3
00:23:55,-63.00,34.70,64QAM 2/3
00:23:57,-63.00,34.70,64QAM 2/3
00:23:59,-63.00,34.70,64QAM 2/3
00:24:01,-63.00,34.70,64QAM 2/3
00:24:04,-63.00,34.70,64QAM 2/3
00:24:06,-63.00,34.70,64QAM 2/3
00:24:08,-63.00,34.70,64QAM 2/3
00:24:10,-63.00,34.70,64QAM 2/3
00:24:13,-63.00,34.70,64QAM 2/3
00:24:15,-63.00,34.70,64QAM 2/3
00:24:17,-63.00,34.70,64QAM 2/3
00:24:19,-63.00,34.70,64QAM 2/3
00:24:22,-63.00,34.70,64QAM 2/3
00:24:24,-63.00,34.70,64QAM 2/3
00:24:26,-63.00,34.70,64QAM 2/3
00:24:28,-63.00,34.70,64QAM 2/3
00:24:31,-63.00,34.70,64QAM 2/3
00:24:33,-63.00,34.70,64QAM 2/3
00:24:35,-63.00,34.70,64QAM 2/3
00:24:37,-63.00,34.70,64QAM 2/3
00:24:40,-63.00,34.70,64QAM 2/3
00:24:42,-63.00,34.70,64QAM 2/3
00:24:44,-63.00,34.70,64QAM 2/3
00:24:47,-63.00,34.70,64QAM 2/3
00:24:49,-63.00,34.70,64QAM 2/3
00:24:51,-63.00,34.70,64QAM 2/3
00:24:53,-63.00,34.70,64QAM 2/3
00:24:56,-63.00,34.70,64QAM 2/3
00:24:58,-63.00,34.70,64QAM 2/3
00:25:00,-63.00,34.70,64QAM 2/3
00:25:02,-63.00,34.70,64QAM 2/3
00:25:04,-63.00,34.70,64QAM 2/3
00:25:07,-63.00,34.70,64QAM 2/3
00:25:09,-63.00,34.70,64QAM 2/3
00:25:11,-63.00,34.70,64QAM 2/3
00:25:13,-63.00,34.70,64QAM 2/3
00:25:16,-63.00,34.70,64QAM 2/3
00:25:18,-63.00,34.70,64QAM 2/3
00:25:20,-63.00,34.70,64QAM 2/3
00:25:22,-63.00,34.70,64QAM 2/3
